bg2020gj,bg2020ge,bg2010gj,bg2010ge,wt_pop,wt_adult,wt_hh,wt_hu,parea
G06000104033012,060014033012,G06000104033001,060014033001,0.046025104603,0.044811320755,0,0.003174603175,0.171010771893
G06000104033021,060014033021,G06000104033001,060014033001,1,1,1,1,1
G06000104033022,060014033022,G06000104033001,060014033001,1,1,1,1,1
G06000104033022,060014033022,G06000104273002,060014273002,0,0,0,0,0
G06000104033023,060014033023,G06000104033001,060014033001,1,1,1,1,1
G06000104034011,060014034011,G06000104034001,060014034001,1,1,1,1,1
G06000104034012,060014034012,G06000104034004,060014034004,1,1,1,1,1
G06000104034013,060014034013,G06000104034003,060014034003,1,1,1,1,1
G06000104034021,060014034021,G06000104034002,060014034002,1,1,1,1,1
G06000104034022,060014034022,G06000104034002,060014034002,1,1,1,1,1
G06000104035011,060014035011,G06000104035011,060014035011,1,1,1,1,1
G06000104035012,060014035012,G06000104035012,060014035012,1,1,1,1,1
G06000104035013,060014035013,G06000104035013,060014035013,1,1,1,1,0.987718417267
G06000104035013,060014035013,G06000104040001,060014040001,0,0,0,0,0.012281582733
G06000104035014,060014035014,G06000104035011,060014035011,1,1,1,1,1
G06000104035021,060014035021,G06000104035021,060014035021,1,1,1,1,1
G06000104035022,060014035022,G06000104035022,060014035022,1,1,1,1,1
G06000104036001,060014036001,G06000104036003,060014036003,1,1,1,1,1
G06000104036002,060014036002,G06000104036003,060014036003,1,1,1,1,1
G06000104036003,060014036003,G06000104036001,060014036001,0.42392102096,0.416922290886,0.390859481583,0.40192926045,0.568863869312
G06000104036003,060014036003,G06000104035022,060014035022,0,0,0,0,0.00527980168
G06000104036003,060014036003,G06000104036002,060014036002,0.575879765396,0.582854799016,0.609140518417,0.59807073955,0.413421581636
G06000104036003,060014036003,G06000104037021,060014037021,1.99213644e-4,2.22910098e-4,0,0,0.012434747372
G06000104037011,060014037011,G06000104037011,060014037011,1,1,1,1,1
G06000104037012,060014037012,G06000104037012,060014037012,1,1,1,1,1
G06000104037021,060014037021,G06000104037021,060014037021,1,1,1,1,0.986854068095
G06000104037021,060014037021,G06000104036001,060014036001,0,0,0,0,0.013145931905
G06000104037022,060014037022,G06000104037022,060014037022,1,1,1,1,1
G06000104038001,060014038001,G06000104038001,060014038001,0.998588351733,0.998407477146,0.998448780788,0.998498619156,0.998434575864
G06000104038001,060014038001,G06000104261004,060014261004,0.001411648267,0.001592522854,0.001551219212,0.001501380844,0.001565424136
G06000104038002,060014038002,G06000104038002,060014038002,1,1,1,1,1
G06000104038003,060014038003,G06000104038003,060014038003,1,1,1,1,1
G06000104038004,060014038004,G06000104038004,060014038004,0.994707226389,0.995640669225,0.996301270882,0.996442155501,0.992652480214
G06000104038004,060014038004,G06000104262002,060014262002,0.005292773611,0.004359330775,0.003698729118,0.003557844499,0.007347519786
G06000104039001,060014039001,G06000104039001,060014039001,1,1,1,1,1
G06000104039002,060014039002,G06000104039002,060014039002,1,1,1,1,1
G06000104039003,060014039003,G06000104039003,060014039003,1,1,1,1,1
G06000104040001,060014040001,G06000104040001,060014040001,1,1,1,1,1
G06000104040002,060014040002,G06000104040002,060014040002,1,1,1,1,1
G06000104040003,060014040003,G06000104040001,060014040001,0.994378126733,0.994392538979,0.993456883784,0.993705789346,0.978336320989
G06000104040003,060014040003,G06000104262003,060014262003,0.005621873267,0.005607461021,0.006543116216,0.006294210654,0.021663679011
G06000104041011,060014041011,G06000104041011,060014041011,0.999750671313,0.999751683815,0.999801414255,0.999782656066,0.999861958805
G06000104041011,060014041011,G06000104262001,060014262001,2.49328687e-4,2.48316185e-4,1.98585745e-4,2.17343934e-4,1.38041195e-4
G06000104041012,060014041012,G06000104041012,060014041012,1,1,1,1,1
G06000104041013,060014041013,G06000104041012,060014041012,1,1,1,1,1
G06000104041021,060014041021,G06000104041021,060014041021,1,1,1,1,1
G06000104041022,060014041022,G06000104041022,060014041022,1,1,1,1,1
G06000104042001,060014042001,G06000104042001,060014042001,1,1,1,1,1
G06000104042002,060014042002,G06000104042002,060014042002,1,1,1,1,1
G06000104042003,060014042003,G06000104042003,060014042003,0.975134089742,0.973684322893,0.969618917373,0.970794855219,0.991939530051
G06000104042003,060014042003,G06000104041011,060014041011,0.015019880081,0.015939197003,0.018526068806,0.017793399418,0.002111277294
G06000104042003,060014042003,G06000104261001,060014261001,0.009846030177,0.010376480104,0.011855013821,0.011411745363,0.005949192655
G06000104043001,060014043001,G06000104043001,060014043001,1,1,1,1,0.998064478648
G06000104043001,060014043001,G06000104044001,060014044001,0,0,0,0,0.001935521352
G06000104043002,060014043002,G06000104043002,060014043002,1,1,1,1,1
G06000104043003,060014043003,G06000104043003,060014043003,1,1,1,1,1
G06000104044001,060014044001,G06000104044001,060014044001,0.9999930293,0.999993353576,0.999996609361,0.999996686538,0.997782711667
G06000104044001,060014044001,G06001303530012,060133530012,6.9707e-6,6.646424e-6,3.390639e-6,3.313462e-6,0.002217288333
G06000104044002,060014044002,G06000104044002,060014044002,1,1,1,1,0.983533960109
G06000104044002,060014044002,G06000104045011,060014045011,0,0,0,0,0.016466039891
G06000104044003,060014044003,G06000104044003,060014044003,0.99965311512,0.999664794239,0.999649315069,0.999665710728,0.998590429721
G06000104044003,060014044003,G06001303530012,060133530012,3.4688488e-4,3.35205761e-4,3.50684931e-4,3.34289272e-4,0.001409570279
G06000104044004,060014044004,G06000104044001,060014044001,1,1,1,1,1
G06000104045011,060014045011,G06000104045011,060014045011,0.994785168906,0.994885303669,0.999871111115,0.99846610955,0.99654911351
G06000104045011,060014045011,G06000104261001,060014261001,9.1152972e-5,8.3524159e-5,8.8364312e-5,8.5999633e-5,6.671961e-5
G06000104045011,060014045011,G06000104261006,060014261006,4.1803474e-5,3.830484e-5,4.0524573e-5,3.9440112e-5,1.6679902e-5
G06000104045011,060014045011,G06000104047001,060014047001,0.005081874647,0.004992867332,0,0.001408450704,0.003367486978
G06000104045021,060014045021,G06000104045021,060014045021,1,1,1,1,1
G06000104045022,060014045022,G06000104045022,060014045022,1,1,1,1,1
G06000104045023,060014045023,G06000104045023,060014045023,0.995814474828,0.995300375283,0.995378572021,0.995592517848,0.978895336498
G06000104045023,060014045023,G06001303522021,060133522021,0.001465606804,0.001645131146,0.00162120727,0.00154337153,0.016470344215
G06000104045023,060014045023,G06001303530012,060133530012,0.002719918368,0.003054493572,0.003000220709,0.002864110621,0.004634319287
G06000104045024,060014045024,G06000104045024,060014045024,1,1,1,1,1
G06000104046001,060014046001,G06000104045023,060014045023,0.01145938394,0.012092370105,0.012270879669,0.011991418641,0.009723060515
G06000104046001,060014046001,G06000104046001,060014046001,0.988538127728,0.98790509033,0.987726515265,0.988006035621,0.989847700863
G06000104046001,060014046001,G06001303522021,060133522021,2.488332e-6,2.539566e-6,2.605067e-6,2.545738e-6,4.29238622e-4
G06000104046002,060014046002,G06000104046002,060014046002,1,1,1,1,0.992002775096
G06000104046002,060014046002,G06001303522021,060133522021,0,0,0,0,0.007997224904
G06000104046003,060014046003,G06000104046003,060014046003,1,1,1,1,1
G06000104046004,060014046004,G06000104046004,060014046004,0.979129416529,0.979660427167,0.984617529832,0.980116512415,0.992281926247
G06000104046004,060014046004,G06000104045024,060014045024,0.020791415158,0.020275750203,0.015332197615,0.019834710744,0.005415738389
G06000104046004,060014046004,G06000104301021,060014301021,7.9168313e-5,6.382263e-5,5.0272553e-5,4.8776841e-5,0.002053375294
G06000104046004,060014046004,G06001303522021,060133522021,0,0,0,0,2.4896007e-4
G06000104047001,060014047001,G06000104047001,060014047001,1,1,1,1,1
G06000104047002,060014047002,G06000104047002,060014047002,1,1,1,1,0.982808032416
G06000104047002,060014047002,G06000104047001,060014047001,0,0,0,0,0.017191967584
G06000104048001,060014048001,G06000104048001,060014048001,1,1,1,1,1
G06000104048002,060014048002,G06000104048002,060014048002,1,1,1,1,1
G06000104049001,060014049001,G06000104049001,060014049001,1,1,1,1,1
G06000104049002,060014049002,G06000104049002,060014049002,1,1,1,1,1
G06000104049003,060014049003,G06000104049003,060014049003,1,1,1,1,1
G06000104049004,060014049004,G06000104049004,060014049004,1,1,1,1,1
G06000104050001,060014050001,G06000104050001,060014050001,1,1,1,1,1
G06000104050002,060014050002,G06000104050002,060014050002,1,1,1,1,1
G06000104050003,060014050003,G06000104050003,060014050003,1,1,1,1,0.99920450971599994
G06000104050003,060014050003,G06000104052001,060014052001,0,0,0,0,7.95490284e-4
G06000104051001,060014051001,G06000104051001,060014051001,1,1,1,1,1
G06000104051002,060014051002,G06000104051002,060014051002,1,1,1,1,1
G06000104051003,060014051003,G06000104051003,060014051003,1,1,1,1,1
G06000104051004,060014051004,G06000104051004,060014051004,1,1,1,1,1
G06000104051005,060014051005,G06000104051005,060014051005,1,1,1,1,1
G06000104052001,060014052001,G06000104052001,060014052001,1,1,1,1,1
G06000104052002,060014052002,G06000104052002,060014052002,1,1,1,1,1
G06000104052003,060014052003,G06000104052003,060014052003,1,1,1,1,1
G06000104052004,060014052004,G06000104052004,060014052004,1,1,1,1,1
G06000104053011,060014053011,G06000104053011,060014053011,1,1,1,1,1
G06000104053012,060014053012,G06000104053012,060014053012,1,1,1,1,1
G06000104053013,060014053013,G06000104053011,060014053011,1,1,1,1,1
G06000104053021,060014053021,G06000104053021,060014053021,1,1,1,1,1
G06000104053022,060014053022,G06000104053022,060014053022,1,1,1,1,1
G06000104054011,060014054011,G06000104054011,060014054011,1,1,1,1,1
G06000104054012,060014054012,G06000104054012,060014054012,1,1,1,1,1
G06000104054013,060014054013,G06000104054013,060014054013,1,1,1,1,1
G06000104054021,060014054021,G06000104054021,060014054021,1,1,1,1,1
G06000104054022,060014054022,G06000104054022,060014054022,1,1,1,1,1
G06000104055001,060014055001,G06000104055001,060014055001,1,1,1,1,1
G06000104055002,060014055002,G06000104055002,060014055002,1,1,1,1,1
G06000104055003,060014055003,G06000104055003,060014055003,1,1,1,1,1
G06000104055004,060014055004,G06000104055004,060014055004,1,1,1,1,1
G06000104056001,060014056001,G06000104056001,060014056001,1,1,1,1,1
G06000104056002,060014056002,G06000104056002,060014056002,1,1,1,1,1
G06000104056003,060014056003,G06000104056003,060014056003,1,1,1,1,1
G06000104057001,060014057001,G06000104057001,060014057001,1,1,1,1,1
G06000104057002,060014057002,G06000104057002,060014057002,1,1,1,1,1
G06000104057003,060014057003,G06000104057003,060014057003,1,1,1,1,1
G06000104058001,060014058001,G06000104058001,060014058001,1,1,1,1,1
G06000104058002,060014058002,G06000104058002,060014058002,1,1,1,1,1
G06000104058003,060014058003,G06000104058003,060014058003,1,1,1,1,1
G06000104058004,060014058004,G06000104058004,060014058004,1,1,1,1,1
G06000104059011,060014059011,G06000104059011,060014059011,1,1,1,1,1
G06000104059012,060014059012,G06000104059012,060014059012,1,1,1,1,1
G06000104059013,060014059013,G06000104059013,060014059013,1,1,1,1,1
G06000104059021,060014059021,G06000104059021,060014059021,1,1,1,1,1
G06000104059022,060014059022,G06000104059022,060014059022,1,1,1,1,1
G06000104060001,060014060001,G06000104060001,060014060001,1,1,1,1,1
G06000104060001,060014060001,G06000104273002,060014273002,0,0,0,0,0
G06000104060002,060014060002,G06000104060002,060014060002,1,1,1,1,1
G06000104060003,060014060003,G06000104060003,060014060003,1,1,1,1,0.993405400893
G06000104060003,060014060003,G06000104033001,060014033001,0,0,0,0,0.006594599107
G06000104060004,060014060004,G06000104060003,060014060003,1,1,1,1,1
G06000104061001,060014061001,G06000104061001,060014061001,1,1,1,1,0.999380267264
G06000104061001,060014061001,G06000104061004,060014061004,0,0,0,0,6.19732736e-4
G06000104061002,060014061002,G06000104061002,060014061002,1,1,1,1,1
G06000104061003,060014061003,G06000104061003,060014061003,1,1,1,1,0.998833592535
G06000104061003,060014061003,G06000104060001,060014060001,0,0,0,0,0.001166407465
G06000104061004,060014061004,G06000104061004,060014061004,1,1,1,1,0.998556884904
G06000104061004,060014061004,G06000104061003,060014061003,0,0,0,0,0.001443115096
G06000104062011,060014062011,G06000104062011,060014062011,1,1,1,1,1
G06000104062012,060014062012,G06000104062012,060014062012,1,1,1,1,1
G06000104062013,060014062013,G06000104062013,060014062013,1,1,1,1,1
G06000104062014,060014062014,G06000104062014,060014062014,1,1,1,1,1
G06000104062021,060014062021,G06000104062021,060014062021,1,1,1,1,1
G06000104062022,060014062022,G06000104062022,060014062022,1,1,1,1,1
G06000104062023,060014062023,G06000104062023,060014062023,1,1,1,1,1
G06000104063001,060014063001,G06000104063001,060014063001,1,1,1,1,1
G06000104063002,060014063002,G06000104063002,060014063002,1,1,1,1,1
G06000104063003,060014063003,G06000104063003,060014063003,1,1,1,1,1
G06000104063004,060014063004,G06000104063004,060014063004,1,1,1,1,1
G06000104064001,060014064001,G06000104064001,060014064001,1,1,1,1,1
G06000104064002,060014064002,G06000104064002,060014064002,1,1,1,1,1
G06000104065001,060014065001,G06000104065001,060014065001,1,1,1,1,1
G06000104065002,060014065002,G06000104065002,060014065002,1,1,1,1,1
G06000104065003,060014065003,G06000104065003,060014065003,1,1,1,1,1
G06000104065004,060014065004,G06000104065004,060014065004,1,1,1,1,1
G06000104066011,060014066011,G06000104066011,060014066011,1,1,1,1,1
G06000104066012,060014066012,G06000104066012,060014066012,1,1,1,1,1
G06000104066013,060014066013,G06000104066013,060014066013,1,1,1,1,1
G06000104066014,060014066014,G06000104066014,060014066014,1,1,1,1,1
G06000104066021,060014066021,G06000104066021,060014066021,1,1,1,1,1
G06000104066022,060014066022,G06000104066022,060014066022,1,1,1,1,1
G06000104067001,060014067001,G06000104067001,060014067001,1,1,1,1,1
G06000104067002,060014067002,G06000104067002,060014067002,1,1,1,1,1
G06000104067003,060014067003,G06000104067003,060014067003,1,1,1,1,1
G06000104067004,060014067004,G06000104067004,060014067004,1,1,1,1,1
G06000104067005,060014067005,G06000104067005,060014067005,1,1,1,1,1
G06000104068001,060014068001,G06000104068001,060014068001,1,1,1,1,1
G06000104068002,060014068002,G06000104068002,060014068002,1,1,1,1,1
G06000104068003,060014068003,G06000104068003,060014068003,1,1,1,1,1
G06000104068004,060014068004,G06000104068004,060014068004,1,1,1,1,1
G06000104069001,060014069001,G06000104069001,060014069001,1,1,1,1,1
G06000104069002,060014069002,G06000104069002,060014069002,1,1,1,1,1
G06000104069003,060014069003,G06000104069003,060014069003,1,1,1,1,1
G06000104070001,060014070001,G06000104070001,060014070001,1,1,1,1,1
G06000104070002,060014070002,G06000104070002,060014070002,1,1,1,1,1
G06000104070003,060014070003,G06000104070003,060014070003,1,1,1,1,1
G06000104070004,060014070004,G06000104070004,060014070004,1,1,1,1,1
G06000104070005,060014070005,G06000104070005,060014070005,1,1,1,1,1
G06000104071011,060014071011,G06000104071011,060014071011,1,1,1,1,1
G06000104071012,060014071012,G06000104071012,060014071012,1,1,1,1,1
G06000104071021,060014071021,G06000104071021,060014071021,1,1,1,1,1
G06000104071022,060014071022,G06000104071022,060014071022,1,1,1,1,1
G06000104071023,060014071023,G06000104071023,060014071023,1,1,1,1,1
G06000104071024,060014071024,G06000104071024,060014071024,1,1,1,1,1
G06000104072001,060014072001,G06000104072001,060014072001,1,1,1,1,1
G06000104072002,060014072002,G06000104072002,060014072002,1,1,1,1,1
G06000104072003,060014072003,G06000104072003,060014072003,1,1,1,1,1
G06000104072004,060014072004,G06000104072004,060014072004,1,1,1,1,1
G06000104073001,060014073001,G06000104073001,060014073001,1,1,1,1,1
G06000104073002,060014073002,G06000104073002,060014073002,1,1,1,1,1
G06000104074001,060014074001,G06000104074001,060014074001,1,1,1,1,1
G06000104074002,060014074002,G06000104074002,060014074002,1,1,1,1,1
G06000104074003,060014074003,G06000104074003,060014074003,1,1,1,1,1
G06000104075001,060014075001,G06000104075001,060014075001,1,1,1,1,1
G06000104075002,060014075002,G06000104075002,060014075002,1,1,1,1,1
G06000104075003,060014075003,G06000104075003,060014075003,1,1,1,1,1
G06000104076001,060014076001,G06000104076001,060014076001,1,1,1,1,1
G06000104076002,060014076002,G06000104076002,060014076002,1,1,1,1,1
G06000104076003,060014076003,G06000104076003,060014076003,1,1,1,1,1
G06000104076004,060014076004,G06000104076004,060014076004,1,1,1,1,1
G06000104076005,060014076005,G06000104076005,060014076005,1,1,1,1,1
G06000104077001,060014077001,G06000104077001,060014077001,0.999923985775,0.999936735034,0.999928895547,0.999930042393,0.999953071787
G06000104077001,060014077001,G06000104078002,060014078002,7.6014225e-5,6.3264966e-5,7.1104453e-5,6.9957607e-5,4.6928213e-5
